Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
624,8.289695175,8.391971841,9.871890735,9.792568455,9.696639795
627,8.272315482,8.373608748,9.849901234,9.775741202,9.68493952
630,8.254663889,8.35227135,9.831048575,9.7544274,9.678619141
633,8.236953976,8.333964196,9.810797635,9.73639267,9.662761811
636,8.217531284,8.313589813,9.793404058,9.718507823,9.656885585
639,8.198524494,8.296832205,9.774986921,9.696895956,9.647738901
642,8.181594942,8.272987964,9.755206059,9.676764391,9.638738044
645,8.163496271,8.256152402,9.735239491,9.659501842,9.629130012
648,8.147745315,8.238505712,9.717408757,9.648764157,9.613863039
651,8.12719309,8.220760733,9.699516021,9.626833909,9.606539377
654,8.112589279,8.20120774,9.68431377,9.605206663,9.599483496
657,8.094625331,8.183636496,9.66318098,9.587725961,9.591412649
660,8.077084347,8.162964456,9.646153674,9.573472709,9.576702941
663,8.060785739,8.146981283,9.629636522,9.550460394,9.566260359
666,8.042835835,8.128644858,9.610624828,9.534538899,9.555991657
669,8.027299713,8.111844822,9.592376729,9.518362792,9.545503388
672,8.010124712,8.093581528,9.570877079,9.501219013,9.53404745
675,7.991263133,8.07170116,9.555198118,9.481887201,9.519244672
678,7.977048614,8.057205539,9.537924161,9.465280709,9.513381805
681,7.961599335,8.040983775,9.523029045,9.452457418,9.498311252
684,7.946568524,8.021671043,9.503287036,9.434717051,9.49033131
687,7.929023307,8.003599004,9.486225072,9.413758285,9.481169199
690,7.912391281,7.985352285,9.47134151,9.397681295,9.464070148
693,7.896988749,7.970651293,9.451893828,9.38041791,9.447266413
696,7.880925224,7.94735443,9.434800792,9.365459815,9.441225876
699,7.866687894,7.93385732,9.418558674,9.345882719,9.427897823
702,7.851984952,7.918592564,9.397879975,9.329522839,9.41803278
705,7.837256159,7.897125478,9.383495381,9.31096064,9.404876926
708,7.82062244,7.882386564,9.365415804,9.296918845,9.39346801
711,7.805031929,7.867602873,9.348939355,9.279178888,9.380923625
714,7.787036052,7.847220302,9.33444553,9.260616426,9.369241924
717,7.773436641,7.832462622,9.317788347,9.243780462,9.358654877
