Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
519,9.914884461,9.877276854,11.4381518,11.39392088,10.72317879
522,9.884152233,9.848932692,11.41081076,11.36493092,10.69900592
525,9.856849755,9.817902958,11.38307019,11.3353992,10.68633989
528,9.826035485,9.787796859,11.34894526,11.30977601,10.66556855
531,9.79760863,9.760599262,11.32791875,11.28088084,10.64482688
534,9.769717133,9.730776901,11.29839738,11.25483765,10.62897452
537,9.741747191,9.701718758,11.27515865,11.23058045,10.60918169
540,9.715839005,9.674722368,11.24832658,11.20490793,10.59331235
543,9.688802254,9.645509031,11.22001211,11.17884203,10.57487659
546,9.659734079,9.617354163,11.19110519,11.14846014,10.55556009
549,9.632997129,9.588265061,11.16723956,11.12343557,10.54023292
552,9.604372216,9.562379193,11.13993434,11.09809783,10.52511986
555,9.579203495,9.533805079,11.11215357,11.0705282,10.51378116
558,9.552227708,9.508304306,11.08368973,11.04610426,10.49164426
561,9.525369389,9.478146011,11.05938265,11.02067344,10.47180205
564,9.500029949,9.451542951,11.03522665,10.9950424,10.46289219
567,9.473244489,9.42574088,11.01046836,10.96824706,10.44168447
570,9.449074715,9.39862234,10.98259705,10.94560984,10.42600531
573,9.42326901,9.37537987,10.95808269,10.91937454,10.41680416
576,9.396554873,9.346735127,10.93219015,10.89776754,10.39650167
579,9.372547212,9.31910987,10.9063505,10.87055833,10.38359076
582,9.346619914,9.292728407,10.88178344,10.84722087,10.37261859
585,9.324382212,9.270175163,10.85914713,10.81900013,10.35715072
588,9.297493454,9.24040789,10.83477835,10.79761708,10.34595416
591,9.273652352,9.215900236,10.81036215,10.77425491,10.33112968
594,9.248885837,9.189413884,10.7822128,10.74996941,10.31780434
597,9.227540531,9.168279564,10.76022637,10.72696461,10.30252465
600,9.201603992,9.144309474,10.73922986,10.70340435,10.28775085
603,9.176934799,9.115743818,10.71405772,10.68241203,10.27947348
606,9.15459624,9.094179911,10.68897145,10.65890653,10.26190621
609,9.133833096,9.068816427,10.66675689,10.63567364,10.25240725
612,9.10928014,9.045246828,10.64525016,10.61402658,10.23206158
615,9.085854333,9.018100369,10.6216364,10.59216915,10.21547471
618,9.061969129,8.995198617,10.59882841,10.56855358,10.20450428
621,9.039761388,8.97127113,10.575558,10.5448619,10.18699372
624,9.017252985,8.948728044,10.55307525,10.51971386,10.18095385
627,8.9964598,8.925091884,10.53451167,10.4994961,10.16691906
630,8.97324317,8.904578766,10.50992206,10.4765223,10.15142746
633,8.952045668,8.878537366,10.48270911,10.4577736,10.14325082
636,8.928755675,8.856476454,10.46576646,10.43433384,10.12753872
639,8.909515969,8.831234536,10.44177553,10.41192355,10.11615735
642,8.887424865,8.809424762,10.42065789,10.38792629,10.10016874
645,8.866356564,8.786601835,10.39810435,10.37229149,10.08804888
648,8.844182934,8.764218088,10.37739614,10.3470161,10.06881368
651,8.824313855,8.741787045,10.35414577,10.32468088,10.05954363
654,8.8022091,8.719261601,10.33333045,10.30520026,10.04736865
657,8.783214223,8.698722638,10.31222101,10.28539036,10.02805169
660,8.760547271,8.676161611,10.29129876,10.26092134,10.01050247
663,8.739804702,8.653313389,10.2720583,10.24399883,9.994248168
666,8.720703803,8.631194361,10.24778471,10.22309678,9.975876234
669,8.701138411,8.611278316,10.2274055,10.20201532,9.959752627
672,8.680960588,8.589697099,10.20840155,10.18100984,9.95240316
675,8.657333888,8.56891236,10.18575479,10.16050542,9.935165806
678,8.63873897,8.54765222,10.1658875,10.13905805,9.920075841
681,8.619444495,8.527199845,10.14809621,10.12291735,9.903865697
684,8.595025293,8.506817854,10.12464847,10.1003126,9.897660931
687,8.578388904,8.486882492,10.10403677,10.07952546,9.879965041
690,8.559604427,8.466133049,10.08489099,10.0574652,9.868580985
693,8.541453148,8.444998728,10.06662774,10.03723558,9.851906133
696,8.520894108,8.424580783,10.04293232,10.01620009,9.842522473
699,8.501837083,8.403944747,10.02674964,9.999886152,9.829264083
702,8.483092678,8.388007001,10.00528881,9.981761455,9.822025573
705,8.463331819,8.366739323,9.989066707,9.96297607,9.810685222
708,8.444967439,8.346690778,9.965672105,9.939897691,9.803970761
711,8.429339025,8.327096614,9.948914727,9.918786186,9.795641206
714,8.409996981,8.308632645,9.927596925,9.903157133,9.777063263
717,8.391861131,8.289233858,9.912156195,9.882660062,9.772332768
