Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
465,9.657390281,9.818029633,11.3841813,11.33707235,10.51096346
468,9.629582321,9.785411746,11.3585052,11.30900778,10.49748018
471,9.595284881,9.75385131,11.32850862,11.27588524,10.48101386
474,9.565154365,9.723543853,11.29931152,11.2542061,10.45804019
477,9.534033587,9.691824781,11.27249642,11.21797695,10.4395197
480,9.506668513,9.660771837,11.24673512,11.19411293,10.41720558
483,9.476377804,9.626160731,11.2118941,11.16563064,10.40397319
486,9.447237129,9.598037131,11.18467207,11.13749563,10.38904877
489,9.416315374,9.567148931,11.16167121,11.10645105,10.36967155
492,9.385916923,9.537135382,11.13283826,11.08042869,10.34951957
495,9.361029561,9.505646244,11.10530466,11.05373852,10.3317549
498,9.331187522,9.474293116,11.07969661,11.02742836,10.31626734
501,9.301221194,9.444255364,11.04936428,10.99976605,10.29640686
504,9.271198355,9.410895889,11.02287405,10.97229268,10.28315484
507,9.24385272,9.383338377,10.99509156,10.94577516,10.26110325
510,9.21470592,9.355384198,10.96997065,10.91678184,10.24613445
513,9.186353367,9.323414181,10.9431809,10.89147676,10.23235355
516,9.160698424,9.296880422,10.91857083,10.86493524,10.21649332
519,9.133143953,9.269328453,10.89167031,10.8401777,10.20217012
522,9.107333601,9.237510144,10.86514087,10.81498337,10.18547882
525,9.081747408,9.211396271,10.8392241,10.78769719,10.17101593
528,9.052646052,9.182785382,10.81316454,10.76500985,10.15595275
531,9.028186868,9.153972069,10.78648055,10.73994189,10.14349606
534,9.001081283,9.12911227,10.76051965,10.71117152,10.12603847
537,8.971308016,9.099127082,10.73873681,10.68910808,10.11423363
540,8.945342139,9.071826171,10.71142227,10.66390129,10.09896923
543,8.921207241,9.045373505,10.6879787,10.63771848,10.08118313
546,8.893220268,9.018543941,10.66334829,10.6128426,10.06698684
549,8.870460472,8.994133535,10.63882293,10.58754486,10.05292957
552,8.843549866,8.96718673,10.61372301,10.56276146,10.03675395
555,8.820124521,8.944603097,10.59021599,10.54206446,10.02266169
558,8.794835791,8.91727741,10.56733775,10.51574468,10.01137355
561,8.772624835,8.89004571,10.53963533,10.49232744,9.994556383
564,8.745823981,8.866543812,10.51707206,10.46614342,9.981059487
567,8.721572942,8.840782297,10.49136783,10.44430646,9.967934851
570,8.695792357,8.813877539,10.46767974,10.42096989,9.956435186
